MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2023 to Jul 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
,,25,1.4565,1.6979,1.3470,0.005440
,,26,1.4577,1.6999,1.3452,0.005428
,,27,1.4588,1.6997,1.3475,0.005435
,,28,1.4583,1.7016,1.3476,0.005431
,Apr,01,1.4553,1.7039,1.3486,0.005438
,,02,1.4516,1.6967,1.3529,0.005449
,,03,1.4558,1.6993,1.3510,0.005405
,,04,1.4616,1.7056,1.3480,0.005390
,,05,1.4612,1.7041,1.3496,0.005406
,,08,1.4615,1.7040,1.3491,0.005405
,,09,1.4631,1.7056,1.3478,0.005402
,,11,1.4540,1.6975,1.3531,0.005412
,,12,1.4525,1.7004,1.3554,0.005423
,,15,1.4491,1.6951,1.3604,0.005422
,,16,1.4504,1.6987,1.3668,0.005409
,,17,1.4496,1.6956,1.3641,0.005377
,,18,1.4511,1.6943,1.3587,0.005348
,,19,1.4502,1.6930,1.3634,0.005358
,,22,1.4514,1.6855,1.3613,0.005350
,,23,1.4506,1.6816,1.3613,0.005347
,,24,1.4557,1.6934,1.3596,0.005343
,,25,1.4569,1.6962,1.3609,0.005365
,,26,1.4588,1.7005,1.3605,0.005371
,,29,1.4603,1.7066,1.3628,0.005377
,,30,1.4571,1.7078,1.3612,0.005370
,May,02,1.4572,1.7041,1.3600,0.005362
,,03,1.4523,1.6982,1.3529,0.005324
,,06,1.4553,1.6964,1.3520,0.005331
,,07,1.4560,1.6978,1.3521,0.005321
,,08,1.4566,1.6933,1.3563,0.005333
,,09,1.4562,1.6932,1.3549,0.005327
,,10,1.4588,1.6945,1.3536,0.005320
,,13,1.4586,1.6963,1.3542,0.005320
,,14,1.4609,1.7007,1.3542,0.005319
,,15,1.4616,1.7009,1.3501,0.005304
,,16,1.4617,1.7039,1.3426,0.005277
,,17,1.4633,1.7057,1.3476,0.005296
,,20,1.4630,1.7088,1.3450,0.005284
,,21,1.4634,1.7130,1.3482,0.005296
,,23,1.4621,1.7185,1.3501,0.005301
,,24,1.4613,1.7159,1.3523,0.005308
,,27,1.4644,1.7199,1.3497,0.005299
,,28,1.4653,1.7215,1.3470,0.005292
,,29,1.4635,1.7204,1.3493,0.005301
